Date,close,ret,open,high,low,volume,SMA20,EMA20,RSI,MACD,MACD_SIGNAL,BB_UPPER,BB_LOWER,ATR,CCI,proba_lstm,signal,proba_rfc_cal,proba_sgd_cal,proba_xgb_cal,proba_sentiment_pos,proba_sentiment_neu,proba_sentiment_neg
2024-12-02,95865.304688,0.000000,97276.007812,98152.601562,94482.867188,72680784305,94179.131641,92535.185625,62.798383,4720.297400,5456.067415,101113.637747,87244.625534,3379.304129,47.572258,,,0.512821,0.568553,0.487830,0.212943,0.783903,0.003154
2024-12-03,96002.164062,0.001428,95854.593750,96297.203125,93629.562500,67067810961,94450.031641,92865.374047,63.021419,4440.582320,5252.970396,101214.442380,87685.620901,3314.429688,22.941882,,,0.512821,0.568406,0.472014,0.261047,0.667545,0.071407
2024-12-04,98768.531250,0.028816,95988.531250,99207.328125,94660.523438,77199817112,95025.936719,93427.579495,67.290264,4391.506266,5080.677570,101139.403950,88912.469488,3404.735491,75.600867,,,0.500000,0.567183,0.468294,0.306102,0.617432,0.076464
2024-12-05,96593.570312,-0.022021,98741.539062,103900.468750,91998.781250,149218945580,95302.314844,93729.102430,61.298731,4129.509554,4890.443967,101156.283867,89448.345820,3906.169085,69.859811,,,0.512821,0.566610,0.469354,0.376648,0.592357,0.030999
2024-12-06,99920.710938,0.034445,97074.226562,102039.882812,96514.875000,94534772658,95770.426562,94318.779431,66.249476,4142.594463,4740.874066,101523.604861,90017.248264,4127.038504,123.587266,,,0.500000,0.566202,0.435367,0.556728,0.373394,0.069859
2024-12-07,99923.335938,0.000026,99916.710938,100563.382812,99030.882812,44177510897,96274.300781,94852.546717,66.253144,4105.846521,4613.868557,101591.379922,90957.221641,4109.232143,129.723842,,,0.500000,0.567304,0.384345,0.269500,0.659213,0.071273
2024-12-08,101236.015625,0.013137,99921.914062,101399.992188,98771.515625,44125751925,96808.969531,95460.496137,68.119037,4134.980313,4518.090908,101842.292027,91775.647035,4092.758929,146.304755,,,0.500000,0.566825,0.390728,0.418184,0.577389,0.004432
2024-12-09,97432.718750,-0.037569,101237.062500,101272.507812,94355.914062,110676473908,97063.416016,95648.326862,58.096269,3807.286750,4375.930077,101640.118094,92486.713937,4137.364397,34.453063,,,0.512821,0.566729,0.484110,0.226707,0.625040,0.148247
2024-12-10,96675.429688,-0.007772,97441.234375,98270.156250,94321.257812,104823780634,97180.212891,95746.146179,56.319368,3446.748371,4190.093736,101580.031099,92780.394682,4117.933036,-30.245467,,,0.512821,0.566418,0.408704,0.113588,0.642851,0.243553
2024-12-11,101173.031250,0.046523,96656.062500,101913.359375,95747.226562,85391409936,97313.628125,96262.992376,63.466202,3483.779130,4048.830814,102032.786631,92594.469619,4159.619978,111.258557,,,0.512821,0.565446,0.428696,0.402990,0.541715,0.055290
2024-12-12,100043.000000,-0.011169,101167.804688,102524.914062,99339.953125,72073983533,97365.894922,96622.993102,60.775607,3382.945703,3915.653792,102185.668408,92546.121435,4246.199219,143.643781,,,0.512821,0.566309,0.460068,0.351366,0.584250,0.064391
2024-12-13,101459.257812,0.014156,100046.648438,101888.804688,99233.281250,56894751583,97549.993750,97083.589741,62.898526,3378.370898,3808.197213,102705.513258,92394.474242,4201.215960,134.853520,,,0.508547,0.566097,0.389901,0.407416,0.484899,0.107704
2024-12-14,101372.968750,-0.000850,101451.437500,102618.882812,100634.054688,40422968793,97717.951172,97492.102028,62.675951,3329.403238,3712.438418,103148.621781,92287.280563,4246.194754,136.028981,,,0.500000,0.566559,0.405717,0.320965,0.679029,0.000006
2024-12-15,104298.695312,0.028861,101373.531250,105047.539062,101227.031250,51145914137,98277.771094,98140.349007,66.946781,3486.487637,3667.248262,104005.300780,92550.241407,4367.806920,168.760801,,,0.500000,0.565539,0.389901,0.424661,0.575311,0.000028
2024-12-16,106029.718750,0.016597,104293.578125,107780.578125,103322.984375,91020417816,98979.991016,98891.717554,69.192878,3707.914747,3675.381559,104899.758645,93060.223386,4424.082589,199.564779,,,0.512821,0.564514,0.467466,0.466152,0.522918,0.010931
2024-12-17,106140.601562,0.001046,106030.687500,108268.445312,105291.734375,68589364868,99488.894531,99582.087460,69.336619,3847.987439,3709.902735,106033.429510,92944.359552,4446.159040,190.393090,,,0.512821,0.565219,0.469901,0.331228,0.452396,0.216374
2024-12-18,100041.539062,-0.057462,106147.296875,106470.609375,100041.539062,93865656139,99708.348047,99625.844755,54.322688,3427.344393,3653.391067,106000.716227,93415.979867,4580.606585,69.070380,,,0.512821,0.566625,0.485473,0.226479,0.715979,0.057548
2024-12-19,97490.953125,-0.025495,100070.687500,102748.148438,95587.679688,97221662392,99709.819531,99422.521743,49.495857,2855.257152,3493.764284,105999.988776,93419.650287,4241.948103,-29.013449,,,0.512821,0.566757,0.392014,0.222140,0.612676,0.165181
2024-12-20,97755.929688,0.002718,97484.695312,98098.914062,92175.179688,105634083408,99775.163281,99263.798690,49.992980,2395.639841,3274.139395,105948.779306,93601.547257,4270.428571,-98.050324,,,0.512821,0.566474,0.405129,0.197695,0.528578,0.273725
2024-12-21,97224.726562,-0.005434,97756.195312,99507.101562,96426.523438,51765334294,99772.410156,99069.601344,48.952697,1965.864891,3012.484494,105950.759003,93594.061309,4381.005580,-53.514512,,,0.512821,0.567428,0.466538,0.410718,0.501041,0.088232
2024-12-22,95104.937500,-0.021803,97218.320312,97360.265625,94202.187500,43147981314,99734.391797,98692.014312,44.934433,1437.643624,2697.516320,106022.356804,93446.426789,4418.834263,-110.777546,,,0.512821,0.568177,0.502693,0.395680,0.604160,0.000180
2024-12-23,94686.242188,-0.004402,95099.390625,96416.210938,92403.132812,65239002919,99668.595703,98310.512205,44.163328,974.011455,2352.815347,106145.690598,93191.500809,4211.440290,-136.190234,,,0.512821,0.567515,0.502693,0.502802,0.316039,0.181153
2024-12-24,98676.093750,0.042138,94684.343750,99404.062500,93448.015625,47114953674,99663.973828,98345.329495,52.524176,917.945789,2065.841435,106143.904280,93184.043376,4354.808036,-63.776607,,,0.512821,0.566511,0.467662,0.589204,0.410587,0.000208
2024-12-25,99299.195312,0.006315,98675.914062,99478.750000,97593.468750,33700394629,99799.255078,98436.173858,53.690417,913.264884,1835.326125,106120.310685,93478.199471,4049.032924,-23.240724,,,0.512821,0.566573,0.494045,0.415808,0.581892,0.002300
2024-12-26,95795.515625,-0.035284,99297.695312,99884.570312,95137.882812,47054980873,99592.995313,98184.682598,46.737993,619.694116,1592.199723,106161.726668,93024.263957,4160.584821,-66.713225,,,0.512821,0.567219,0.502693,0.254485,0.421455,0.324036
2024-12-27,94164.859375,-0.017022,95704.976562,97294.843750,93310.742188,52419934565,99305.071484,97801.842291,43.889453,252.545647,1324.268908,106303.592116,92306.550852,4255.483259,-104.818673,,,0.512821,0.566995,0.502693,0.292134,0.534129,0.173722
2024-12-28,95163.929688,0.010610,94160.187500,95525.898438,94014.289062,24107436185,99001.467188,97550.612519,46.058619,41.713616,1067.757850,106172.000914,91830.933461,4221.681920,-95.099678,,,0.512821,0.566896,0.502693,0.172408,0.617275,0.210325
2024-12-29,93530.226562,-0.017167,95174.054688,95174.875000,92881.789062,29635885267,98806.342578,97167.718619,43.122878,-254.267439,803.352792,106358.834829,91253.850327,4112.580357,-108.990088,,,0.512821,0.567299,0.502693,0.495300,0.503962,0.000737
2024-12-30,92643.210938,-0.009484,93527.195312,94903.320312,91317.132812,56188003691,98604.731641,96736.813125,41.573470,-554.022875,531.877659,106599.086539,90610.376742,4050.337054,-119.088746,,,0.512821,0.566694,0.497765,0.322544,0.496151,0.181300
2025-01-01,94419.757812,0.019176,93425.101562,94929.867188,92788.125000,24519888919,97936.378125,96425.334156,43.425930,-1393.378495,-982.220340,106274.906556,89597.849694,3829.803571,-78.379768,,,0.500000,0.500000,0.500000,0.000000,1.000000,0.000000
2025-01-02,96886.875000,0.026129,94416.289062,97739.820312,94201.570312,46009564411,97707.758984,96470.968953,49.912840,-1174.367966,-1020.674238,105888.840616,89526.677353,3571.073661,-30.887483,,,0.545455,0.530301,0.498455,0.511400,0.332600,0.156000
2025-01-03,98107.429688,0.012598,96881.726562,98956.914062,96034.617188,35611391163,97544.482031,96632.187501,52.796517,-898.700340,-996.267082,105545.939081,89543.024981,3356.685268,2.469017,,,0.545455,0.524460,0.502750,0.426400,0.471500,0.102100
2025-01-04,98236.226562,0.001313,98106.992188,98734.429688,97562.976562,22342608078,97241.358594,96789.695585,53.103345,-663.117545,-929.610136,104598.877955,89883.839232,3220.319196,21.246031,,,0.545455,0.518651,0.501879,0.563100,0.436900,0.000000
2025-01-05,98314.960938,0.000801,98233.906250,98813.304688,97291.765625,20525254825,96855.620703,96939.027001,53.303171,-465.283861,-836.714734,102978.462430,90732.778977,3103.423549,35.356979,0.423044,0.000000,0.545455,0.511685,0.500307,0.999700,0.000300,0.000000
