Date,close,high,low,open,volume,RSI,MACD,MACD_SIGNAL,SMA20,EMA20,BB_UPPER,BB_LOWER,ATR,CCI,proba_rfc_cal,proba_sgd_cal,proba_xgb_cal,proba_sentiment_neg,proba_sentiment_neu,proba_sentiment_pos,y_true
2025-01-01,94419.757812,94929.867188,92788.125000,93425.101562,24519888919,43.425930,-1393.378495,-982.220340,97936.378125,96425.334156,106274.906556,89597.849694,3829.803571,-78.379768,,,,,,,1
2025-01-02,96886.875000,97739.820312,94201.570312,94416.289062,46009564411,49.912840,-1174.367966,-1020.674238,97707.758984,96470.968953,105888.840616,89526.677353,3571.073661,-30.887483,0.545455,0.530301,,,,,1
2025-01-03,98107.429688,98956.914062,96034.617188,96881.726562,35611391163,52.796517,-898.700340,-996.267082,97544.482031,96632.187501,105545.939081,89543.024981,3356.685268,2.469017,0.545455,0.524460,,,,,1
2025-01-04,98236.226562,98734.429688,97562.976562,98106.992188,22342608078,53.103345,-663.117545,-929.610136,97241.358594,96789.695585,104598.877955,89883.839232,3220.319196,21.246031,0.545455,0.518651,,,,,1
2025-01-05,98314.960938,98813.304688,97291.765625,98233.906250,20525254825,53.303171,-465.283861,-836.714734,96855.620703,96939.027001,102978.462430,90732.778977,3103.423549,35.356979,0.545455,0.511685,,,,,1
2025-01-06,102078.085938,102482.875000,97926.148438,98314.953125,51823432705,61.702578,-20.918407,-673.513099,96652.494922,97440.829255,101643.259619,91661.730225,3142.255580,141.158393,0.545455,0.489527,,,,,0
2025-01-07,96922.703125,102712.484375,96132.875000,102248.851562,58685738547,48.762329,-63.941789,-551.573511,96496.553125,97390.358413,101229.700818,91763.405432,3186.795759,78.662591,0.545455,0.515848,,,,,0
2025-01-08,95043.523438,97258.320312,92525.843750,96924.164062,63875859171,45.053318,-239.930725,-489.234596,96374.181641,97162.247933,101125.596542,91622.766739,3390.166853,-51.624959,0.545455,0.522583,,,,,0
2025-01-09,92484.039062,95349.718750,91220.843750,95043.484375,62777261693,40.531292,-570.446031,-505.479042,96110.587109,96708.419781,101117.320933,91103.853285,3346.037388,-110.154478,0.576923,0.534491,,,,,1
2025-01-10,94701.453125,95770.609375,92250.093750,92494.492188,62058693684,45.623397,-652.689863,-534.924338,95984.423437,96514.070209,101000.105759,90968.741116,3312.924107,-60.959253,0.576923,0.521310,,,,,0
2025-01-11,94566.593750,94977.687500,93840.046875,94700.835938,18860894100,45.368956,-719.958500,-571.934319,95957.506250,96325.782660,100998.774538,90916.237962,3286.212054,-49.941468,0.545455,0.524613,,,,,0
2025-01-12,94488.437500,95367.539062,93712.507812,94565.726562,20885130965,45.211588,-770.398666,-611.629890,95947.616016,96148.399191,101000.149046,90895.082985,3240.636719,-47.890385,0.545455,0.524510,,,,,1
2025-01-13,94516.523438,95837.000000,89260.101562,94488.890625,72978998252,45.285035,-798.897354,-649.085422,95739.637500,95991.057799,100659.987542,90819.287458,3454.258929,-84.968170,0.576923,0.530336,,,,,1
2025-01-14,96534.046875,97352.664062,94322.156250,94519.007812,53769675818,50.426088,-655.787565,-650.425909,95601.380078,96043.349778,100248.395956,90954.364200,3372.397321,18.038280,0.545455,0.511714,,,,,1
2025-01-15,100504.492188,100697.234375,96501.640625,96534.046875,57805923627,58.658665,-227.988445,-565.935472,95836.828906,96472.517881,100976.339234,90697.318579,3519.101004,121.284206,0.545455,0.496949,,,,,0
2025-01-16,99756.906250,100781.585938,97364.445312,100505.296875,54103781805,56.747765,51.487209,-442.447493,96116.431250,96788.176537,101476.658372,90756.204128,3510.450335,107.060793,0.545455,0.506073,,,,,1
2025-01-17,104462.039062,105884.226562,99948.906250,100025.765625,71888972663,64.570612,636.460037,-226.661175,96581.336719,97525.060712,103084.717765,90077.955672,3739.380580,191.563729,0.545455,0.486559,,,,,0
2025-01-18,104408.070312,104913.203125,102226.617188,104124.953125,50445655726,64.426674,1083.112838,35.298301,97125.228906,98185.483257,104335.286870,89915.170942,3847.604353,168.742063,0.478261,0.495736,,,,,0
2025-01-19,101089.609375,106299.796875,99570.531250,104411.289062,76789928525,56.139776,1161.070139,260.455882,97547.548828,98463.935077,104640.750768,90454.346888,4219.584821,117.275631,0.545455,0.512115,,,,,1
2025-01-20,102016.664062,109114.882812,99471.359375,101083.750000,126279678351,57.773812,1281.457228,464.658483,97976.921875,98804.356869,105060.099659,90893.744091,4582.927455,129.878765,0.545455,0.504827,,,,,1
2025-01-21,106146.265625,107180.921875,100103.953125,102052.578125,88733878242,64.176297,1684.946787,708.718373,98563.247266,99507.448126,106316.323363,90810.171168,4618.453125,133.693568,0.545455,0.498174,,,,,0
2025-01-22,103653.070312,106294.343750,103360.265625,106136.382812,53878181052,58.417370,1785.979873,924.172248,98901.557031,99904.241175,106932.161679,90870.952383,4489.996094,115.753810,0.545455,0.514023,,,,,1
2025-01-23,103960.171875,106820.328125,101257.804688,103657.671875,104104515428,58.906529,1868.859900,1113.110883,99194.194141,100292.264950,107523.933110,90864.455171,4592.399554,94.647545,0.545455,0.515552,,,,,1
2025-01-24,104819.484375,107098.546875,102772.125000,103965.671875,52388229265,60.313343,1980.062715,1286.502060,99523.357031,100725.189867,108206.502748,90840.211314,4649.964286,98.398764,0.545455,0.516065,,,,,0
2025-01-25,104714.648438,105243.789062,104120.375000,104824.031250,23888996502,60.043275,2036.302352,1436.462679,99843.341406,101106.541915,108806.157319,90880.525493,4648.948103,84.326716,0.545455,0.521205,,,,,0
2025-01-26,102682.500000,105438.648438,102507.710938,104713.210938,22543395879,54.910593,1896.873052,1528.545030,99873.562109,101257.134648,108872.109369,90875.014849,4740.084263,60.516867,0.545455,0.532741,,,,,0
2025-01-27,102087.687500,103214.109375,97795.937500,102680.304688,89006608428,53.469811,1719.055145,1566.647144,100131.811328,101336.473963,109070.040637,91193.582019,4657.318080,17.570908,0.576923,0.541158,,,,,0
2025-01-28,101332.476562,103730.820312,100238.187500,102095.414062,47180685494,51.617921,1500.489884,1553.415666,100446.258984,101336.092218,109067.653509,91824.864460,4690.327009,25.454250,0.576923,0.540706,,,,,1
2025-01-29,103703.210938,104750.804688,101283.820312,101317.523438,47432049818,56.689040,1499.530083,1542.638533,101007.217578,101562.089489,108874.236085,93140.199071,4638.283482,46.781328,0.545455,0.529284,,,,,1
2025-01-30,104735.304688,106418.765625,103321.648438,103709.335938,41915744521,58.717676,1563.298893,1546.770610,101508.910156,101864.976346,108951.030188,94066.790124,4615.424665,73.527147,0.545455,0.526764,,,,,0
2025-01-31,102405.023438,106026.351562,101543.882812,104737.562500,45732764360,52.714136,1410.988000,1519.614061,101900.831641,101916.513453,108591.196718,95210.466563,4497.935268,37.485129,0.576923,0.536990,,,,,0
2025-02-01,100655.906250,102755.726562,100297.710938,102402.796875,27757944848,48.689991,1137.055671,1443.102323,102209.205078,101796.235917,107964.185474,96454.224682,4481.608817,-25.654437,,,,,,,0
2025-02-02,97688.976562,101430.664062,96216.078125,100661.539062,63091816853,42.731123,674.403009,1289.362364,102367.827734,101404.420804,107353.511217,97382.144252,4373.417411,-133.528677,0.666667,0.545548,,,,,1
2025-02-03,101405.421875,102514.171875,91242.890625,97681.101562,115400897748,50.846099,598.880670,1151.265956,102611.396484,101404.516287,106811.086954,98411.706014,4489.685826,-150.025936,0.666667,0.502337,,,,,0
2025-02-04,97871.820312,101745.617188,96208.109375,101398.718750,73002130211,44.403511,252.631841,971.539061,102479.762891,101067.613257,107101.351561,97858.174220,4379.724330,-137.984694,0.666667,0.580269,,,,,0
