Date,proba_lstm,y_true
2025-01-05,0.439275,1
2025-01-06,0.431781,0
2025-01-07,0.441576,0
2025-01-08,0.440660,0
2025-01-09,0.439627,1
2025-01-10,0.435860,0
2025-01-11,0.438686,0
2025-01-12,0.438969,1
2025-01-13,0.439604,1
2025-01-14,0.438516,1
2025-01-15,0.434198,0
2025-01-16,0.429269,1
2025-01-17,0.425723,0
2025-01-18,0.431491,0
2025-01-19,0.432623,1
2025-01-20,0.434216,1
2025-01-21,0.429683,0
2025-01-22,0.432248,1
2025-01-23,0.429191,1
2025-01-24,0.431973,0
2025-01-25,0.431922,0
2025-01-26,0.433411,0
2025-01-27,0.433828,0
2025-01-28,0.438263,1
2025-01-29,0.435187,1
2025-01-30,0.432271,0
2025-01-31,0.434000,0
2025-02-01,,0
2025-02-02,0.444161,1
2025-02-03,0.447926,0
2025-02-04,0.451189,0
2025-02-05,0.453632,0
2025-02-06,0.449316,0
2025-02-07,0.448106,0
2025-02-08,0.445863,1
2025-02-09,0.444210,1
2025-02-10,0.443468,0
2025-02-11,0.444764,1
2025-02-12,0.444203,0
2025-02-13,0.442285,1
2025-02-14,0.443243,1
2025-02-15,0.444712,0
2025-02-16,0.446590,0
2025-02-17,0.450918,0
2025-02-18,0.452774,1
2025-02-19,0.453769,1
2025-02-20,0.451305,0
2025-02-21,0.450207,1
2025-02-22,0.452157,0
2025-02-23,0.454384,0
2025-02-24,0.460763,0
2025-02-25,0.468597,0
2025-02-26,0.470316,1
2025-02-27,0.459387,0
2025-02-28,0.455527,1
2025-03-01,,1
2025-03-02,0.448650,0
2025-03-03,0.444850,1
2025-03-04,0.437602,1
2025-03-05,0.434476,0
2025-03-06,0.432076,0
2025-03-07,0.436250,0
2025-03-08,0.436275,0
2025-03-09,0.441406,0
2025-03-10,0.438427,1
2025-03-11,0.425745,1
2025-03-12,0.423530,0
2025-03-13,0.422274,1
2025-03-14,0.419764,1
2025-03-15,0.427649,0
2025-03-16,0.431294,1
2025-03-17,0.430655,0
2025-03-18,0.433513,1
2025-03-19,0.430388,0
2025-03-20,0.430194,0
2025-03-21,0.433001,0
2025-03-22,0.437993,1
2025-03-23,0.441411,1
2025-03-24,0.435071,0
2025-03-25,0.433951,0
2025-03-26,0.436125,1
2025-03-27,0.436761,0
2025-03-28,0.438022,0
2025-03-29,0.446087,0
2025-03-30,0.449097,1
2025-03-31,0.451706,1
2025-04-01,,0
2025-04-02,0.448980,1
2025-04-03,0.437560,1
2025-04-04,0.428623,0
2025-04-05,0.426750,0
2025-04-06,0.437719,1
2025-04-07,0.440721,0
2025-04-08,0.445496,1
2025-04-09,0.440361,0
2025-04-10,0.437708,1
2025-04-11,0.425801,1
2025-04-12,0.427566,0
2025-04-13,0.429845,1
2025-04-14,0.431972,0
2025-04-15,0.436062,1
2025-04-16,0.429163,1
2025-04-17,0.423191,0
2025-04-18,0.426105,1
2025-04-19,0.428891,1
2025-04-20,0.429839,1
2025-04-21,0.429703,1
2025-04-22,0.424344,1
2025-04-23,0.426444,1
2025-04-24,0.432437,1
2025-04-25,0.441182,0
2025-04-26,0.449930,0
2025-04-27,0.441252,1
2025-04-28,0.435394,0
2025-04-29,0.435922,0
2025-04-30,0.438952,1
2025-05-01,,1
2025-05-02,0.441457,0
2025-05-03,0.446737,0
2025-05-04,0.447188,1
2025-05-05,0.442983,1
2025-05-06,0.440263,1
2025-05-07,0.437557,1
2025-05-08,0.431342,0
2025-05-09,0.434715,1
2025-05-10,0.440061,0
2025-05-11,0.442638,0
2025-05-12,0.445550,1
2025-05-13,0.442764,0
2025-05-14,0.441343,1
2025-05-15,0.443983,0
2025-05-16,0.447911,0
2025-05-17,0.453396,1
2025-05-18,0.460244,0
2025-05-19,0.480057,1
2025-05-20,0.492900,1
2025-05-21,0.509349,1
2025-05-22,0.525188,0
2025-05-23,0.531706,1
2025-05-24,0.534973,1
2025-05-25,0.533175,1
2025-05-26,0.532322,0
2025-05-27,0.531844,0
2025-05-28,0.537014,0
2025-05-29,0.534944,0
2025-05-30,0.524256,1
2025-05-31,0.512605,1
2025-06-01,,1
2025-06-02,0.499115,0
2025-06-03,0.499964,0
2025-06-04,0.498720,0
2025-06-05,0.485724,1
2025-06-06,0.471904,1
2025-06-07,0.464813,1
2025-06-08,0.464918,1
2025-06-09,0.468088,0
2025-06-10,0.487228,0
2025-06-11,0.501998,0
2025-06-12,0.493055,1
2025-06-13,0.478081,0
2025-06-14,0.461026,1
2025-06-15,0.453507,1
2025-06-16,0.447428,0
2025-06-17,0.454701,1
2025-06-18,0.462179,0
2025-06-19,0.465795,0
2025-06-20,0.461832,0
2025-06-21,0.458707,0
2025-06-22,0.454791,1
2025-06-23,0.441899,1
2025-06-24,0.429090,1
2025-06-25,0.424793,0
2025-06-26,0.422610,1
2025-06-27,0.426156,1
2025-06-28,0.428295,1
2025-06-29,0.424339,0
2025-06-30,0.426507,0
2025-07-01,,1
2025-07-02,0.434564,1
2025-07-03,0.439350,0
2025-07-04,0.443895,1
2025-07-05,0.445641,1
2025-07-06,0.441742,0
2025-07-07,0.442074,1
2025-07-08,0.440283,1
2025-07-09,0.436233,1
2025-07-10,0.427403,1
2025-07-11,0.428455,0
2025-07-12,0.432275,1
2025-07-13,0.433463,1
2025-07-14,0.433714,0
2025-07-15,0.437966,1
2025-07-16,0.436630,1
2025-07-17,0.433403,0
2025-07-18,0.434535,0
2025-07-19,0.437486,0
2025-07-20,0.437962,1
2025-07-21,0.437697,1
2025-07-22,0.437443,0
2025-07-23,0.439147,0
2025-07-24,0.439627,0
2025-07-25,0.444200,1
2025-07-26,0.444464,1
2025-07-27,0.444312,0
2025-07-28,0.445407,0
2025-07-29,0.446280,0
2025-07-30,0.449199,0
2025-07-31,0.451057,0
2025-08-01,,0
2025-08-02,0.454873,1
2025-08-03,0.448591,1
2025-08-04,0.440365,0
2025-08-05,0.437011,1
2025-08-06,0.436098,1
2025-08-07,0.433088,0
2025-08-08,0.432847,0
2025-08-09,0.431594,1
2025-08-10,0.432005,0
2025-08-11,0.431676,1
2025-08-12,0.432139,1
2025-08-13,0.432638,0
2025-08-14,0.435229,0
2025-08-15,0.435515,1
2025-08-16,0.434562,0
2025-08-17,0.432721,0
2025-08-18,0.432933,0
2025-08-19,0.436038,1
2025-08-20,0.438551,0
2025-08-21,0.441408,1
2025-08-22,0.442885,0
2025-08-23,0.444156,0
2025-08-24,0.445068,0
2025-08-25,0.446187,1
2025-08-26,0.445200,0
2025-08-27,0.444649,1
2025-08-28,0.441632,0
2025-08-29,0.441759,1
2025-08-30,0.441792,0
