Date,proba_lstm,y_true,proba_rfc_cal,proba_sgd_cal,proba_blend
2025-01-19,0.432565,1,0.545455,0.512115,0.480675
2025-01-20,0.434161,1,0.545455,0.504827,0.479651
2025-01-21,0.429658,0,0.545455,0.498174,0.475736
2025-01-22,0.432220,1,0.545455,0.514023,0.480980
2025-01-23,0.429158,1,0.545455,0.515552,0.479831
2025-01-24,0.431961,0,0.545455,0.516065,0.481361
2025-01-25,0.431923,0,0.545455,0.521205,0.482627
2025-01-26,0.433406,0,0.545455,0.532741,0.486252
2025-01-27,0.433826,0,0.576923,0.541158,0.496433
2025-01-28,0.438267,1,0.576923,0.540706,0.498541
2025-01-29,0.435190,1,0.545455,0.529284,0.486280
2025-01-30,0.432273,0,0.545455,0.526764,0.484191
2025-01-31,0.434000,0,0.576923,0.536990,0.495478
2025-02-01,,0,0.576923,0.536990,
2025-02-02,0.444162,1,0.666667,0.545548,0.525135
2025-02-03,0.447928,0,0.666667,0.502337,0.516215
2025-02-04,0.451191,0,0.666667,0.580269,0.537330
2025-02-05,0.453634,0,0.666667,0.590286,0.541055
2025-02-06,0.449317,0,0.555556,0.606766,0.515239
2025-02-07,0.448107,0,0.611111,0.622844,0.532542
2025-02-08,0.445864,1,0.555556,0.632423,0.519927
2025-02-09,0.444210,1,0.666667,0.643593,0.549670
2025-02-10,0.443468,0,0.555556,0.609532,0.513006
2025-02-11,0.444765,1,0.555556,0.639967,0.521263
2025-02-12,0.444203,0,0.545455,0.588366,0.505557
2025-02-13,0.442285,1,0.555556,0.595656,0.508946
2025-02-14,0.443243,1,0.555556,0.531439,0.493370
2025-02-15,0.444712,0,0.555556,0.511564,0.489136
2025-02-16,0.446590,0,0.666667,0.528798,0.522161
2025-02-17,0.450918,0,0.555556,0.520380,0.494443
2025-02-18,0.452774,1,0.545455,0.519877,0.492720
2025-02-19,0.453769,1,0.545455,0.452263,0.476314
2025-02-20,0.451305,0,0.545455,0.402376,0.462610
2025-02-21,0.450206,1,0.545455,0.436857,0.470681
2025-02-22,0.452157,0,0.545455,0.392663,0.460608
2025-02-23,0.454383,0,0.555556,0.373296,0.459405
2025-02-24,0.460763,0,0.666667,0.520862,0.527264
