Date,proba_lstm,y_true
2025-01-19,0.482704,1
2025-01-20,0.483118,1
2025-01-21,0.481949,0
2025-01-22,0.482615,1
2025-01-23,0.481819,1
2025-01-24,0.482547,0
2025-01-25,0.482537,0
2025-01-26,0.482922,0
2025-01-27,0.483031,0
2025-01-28,0.484181,1
2025-01-29,0.483385,1
2025-01-30,0.482628,0
2025-01-31,0.483076,0
2025-02-01,,0
2025-02-02,0.485704,1
2025-02-03,0.486675,0
2025-02-04,0.487515,0
2025-02-05,0.488144,0
2025-02-06,0.487033,0
2025-02-07,0.486721,0
2025-02-08,0.486143,1
2025-02-09,0.485717,1
2025-02-10,0.485525,0
2025-02-11,0.485860,1
2025-02-12,0.485715,0
2025-02-13,0.485220,1
2025-02-14,0.485467,1
2025-02-15,0.485846,0
2025-02-16,0.486330,0
2025-02-17,0.487445,0
2025-02-18,0.487923,1
2025-02-19,0.488178,1
2025-02-20,0.487545,0
2025-02-21,0.487262,1
2025-02-22,0.487764,0
2025-02-23,0.488336,0
2025-02-24,0.489974,0
2025-02-25,0.491982,0
2025-02-26,0.492421,1
2025-02-27,0.489621,0
2025-02-28,0.488630,1
2025-03-01,,1
2025-03-02,0.486861,0
2025-03-03,0.485882,1
2025-03-04,0.484009,1
2025-03-05,0.483200,0
2025-03-06,0.482577,0
2025-03-07,0.483659,0
2025-03-08,0.483665,0
2025-03-09,0.484993,0
2025-03-10,0.484223,1
2025-03-11,0.480931,1
2025-03-12,0.480354,0
2025-03-13,0.480027,1
2025-03-14,0.479371,1
2025-03-15,0.481427,0
2025-03-16,0.482374,1
2025-03-17,0.482208,0
2025-03-18,0.482950,1
2025-03-19,0.482139,0
2025-03-20,0.482088,0
2025-03-21,0.482817,0
2025-03-22,0.484110,1
2025-03-23,0.484994,1
2025-03-24,0.483354,0
2025-03-25,0.483063,0
2025-03-26,0.483627,1
2025-03-27,0.483791,0
2025-03-28,0.484118,0
2025-03-29,0.486201,0
2025-03-30,0.486976,1
2025-03-31,0.487648,1
2025-04-01,,0
2025-04-02,0.486946,1
2025-04-03,0.483998,1
2025-04-04,0.481680,0
2025-04-05,0.481193,0
2025-04-06,0.484039,1
2025-04-07,0.484816,0
2025-04-08,0.486048,1
2025-04-09,0.484723,0
2025-04-10,0.484036,1
2025-04-11,0.480946,1
2025-04-12,0.481405,0
2025-04-13,0.481998,1
2025-04-14,0.482550,0
2025-04-15,0.483610,1
2025-04-16,0.481821,1
2025-04-17,0.480266,0
2025-04-18,0.481025,1
2025-04-19,0.481750,1
2025-04-20,0.481996,1
2025-04-21,0.481961,1
2025-04-22,0.480566,1
2025-04-23,0.481113,1
2025-04-24,0.482671,1
2025-04-25,0.484935,0
2025-04-26,0.487191,0
2025-04-27,0.484953,1
2025-04-28,0.483437,0
2025-04-29,0.483574,0
2025-04-30,0.484358,1
2025-05-01,,1
2025-05-02,0.485006,0
2025-05-03,0.486368,0
2025-05-04,0.486485,1
2025-05-05,0.485400,1
2025-05-06,0.484697,1
2025-05-07,0.483997,1
2025-05-08,0.482387,0
2025-05-09,0.483261,1
2025-05-10,0.484645,0
2025-05-11,0.485311,0
2025-05-12,0.486062,1
2025-05-13,0.485343,0
2025-05-14,0.484976,1
2025-05-15,0.485658,0
2025-05-16,0.486671,0
2025-05-17,0.488083,1
2025-05-18,0.489841,0
2025-05-19,0.494911,1
2025-05-20,0.498189,1
2025-05-21,0.502384,1
2025-05-22,0.506429,0
2025-05-23,0.508096,1
2025-05-24,0.508933,1
2025-05-25,0.508472,1
2025-05-26,0.508254,0
2025-05-27,0.508131,0
2025-05-28,0.509456,0
2025-05-29,0.508925,0
2025-05-30,0.506190,1
2025-05-31,0.503215,1
2025-06-01,,1
2025-06-02,0.499774,0
2025-06-03,0.499991,0
2025-06-04,0.499674,0
2025-06-05,0.496358,1
2025-06-06,0.492828,1
2025-06-07,0.491013,1
2025-06-08,0.491039,1
2025-06-09,0.491851,0
2025-06-10,0.496742,0
2025-06-11,0.500510,0
2025-06-12,0.498229,1
2025-06-13,0.494407,0
2025-06-14,0.490042,1
2025-06-15,0.488111,1
2025-06-16,0.486546,0
2025-06-17,0.488418,1
2025-06-18,0.490338,0
2025-06-19,0.491264,0
2025-06-20,0.490249,0
2025-06-21,0.489447,0
2025-06-22,0.488441,1
2025-06-23,0.485120,1
2025-06-24,0.481802,1
2025-06-25,0.480683,0
2025-06-26,0.480114,1
2025-06-27,0.481038,1
2025-06-28,0.481595,1
2025-06-29,0.480565,0
2025-06-30,0.481130,0
2025-07-01,,1
2025-07-02,0.483222,1
2025-07-03,0.484461,0
2025-07-04,0.485635,1
2025-07-05,0.486086,1
2025-07-06,0.485080,0
2025-07-07,0.485165,1
2025-07-08,0.484703,1
2025-07-09,0.483655,1
2025-07-10,0.481363,1
2025-07-11,0.481637,0
2025-07-12,0.482629,1
2025-07-13,0.482937,1
2025-07-14,0.483002,0
2025-07-15,0.484103,1
2025-07-16,0.483757,1
2025-07-17,0.482921,0
2025-07-18,0.483215,0
2025-07-19,0.483979,0
2025-07-20,0.484102,1
2025-07-21,0.484034,1
2025-07-22,0.483968,0
2025-07-23,0.484409,0
2025-07-24,0.484533,0
2025-07-25,0.485714,1
2025-07-26,0.485782,1
2025-07-27,0.485743,0
2025-07-28,0.486025,0
2025-07-29,0.486251,0
2025-07-30,0.487003,0
2025-07-31,0.487481,0
2025-08-01,,0
2025-08-02,0.488462,1
2025-08-03,0.486846,1
2025-08-04,0.484724,0
2025-08-05,0.483856,1
2025-08-06,0.483620,1
2025-08-07,0.482840,0
2025-08-08,0.482777,0
2025-08-09,0.482452,1
2025-08-10,0.482559,0
2025-08-11,0.482473,1
2025-08-12,0.482593,1
2025-08-13,0.482723,0
2025-08-14,0.483395,0
2025-08-15,0.483469,1
2025-08-16,0.483222,0
2025-08-17,0.482745,0
2025-08-18,0.482799,0
2025-08-19,0.483604,1
2025-08-20,0.484255,0
2025-08-21,0.484993,1
2025-08-22,0.485375,0
2025-08-23,0.485703,0
2025-08-24,0.485938,0
2025-08-25,0.486227,1
2025-08-26,0.485972,0
2025-08-27,0.485830,1
2025-08-28,0.485051,0
2025-08-29,0.485084,1
2025-08-30,0.485092,0
