cut_date,train_start,train_end,val_start,val_end,n_epochs,val_metric,best_threshold,best_threshold_f1,weights_path,scaler_path,config_path,notes
2024-12-31,2022-12-31,2024-12-09,2024-12-10,2024-12-30,10,0.4027777777777778,0.3,0.6428571428571429,models\rolling\2024-12-31\lstm_weights.pth,models\rolling\2024-12-31\lstm_scaler.pkl,models\rolling\2024-12-31\lstm_config.json,
2025-01-31,2023-01-31,2025-01-10,2025-01-11,2025-01-31,10,0.6714285714285714,0.38,0.6086956521739131,models\rolling\2025-01-31\lstm_weights.pth,models\rolling\2025-01-31\lstm_scaler.pkl,models\rolling\2025-01-31\lstm_config.json,
2025-02-28,2023-02-28,2025-02-07,2025-02-08,2025-02-28,10,0.6428571428571428,0.42,0.6086956521739131,models\rolling\2025-02-28\lstm_weights.pth,models\rolling\2025-02-28\lstm_scaler.pkl,models\rolling\2025-02-28\lstm_config.json,
2025-03-31,2023-03-31,2025-03-10,2025-03-11,2025-03-31,10,0.6428571428571429,0.34,0.5555555555555556,models\rolling\2025-03-31\lstm_weights.pth,models\rolling\2025-03-31\lstm_scaler.pkl,models\rolling\2025-03-31\lstm_config.json,
2025-04-30,2023-04-30,2025-04-09,2025-04-10,2025-04-30,10,0.4848484848484848,0.3,0.6363636363636364,models\rolling\2025-04-30\lstm_weights.pth,models\rolling\2025-04-30\lstm_scaler.pkl,models\rolling\2025-04-30\lstm_config.json,
2025-05-31,2023-05-31,2025-05-10,2025-05-11,2025-05-31,10,0.5972222222222222,0.5,0.72,models\rolling\2025-05-31\lstm_weights.pth,models\rolling\2025-05-31\lstm_scaler.pkl,models\rolling\2025-05-31\lstm_config.json,
2025-06-30,2023-06-30,2025-06-09,2025-06-10,2025-06-30,10,0.4027777777777778,0.3,0.6923076923076923,models\rolling\2025-06-30\lstm_weights.pth,models\rolling\2025-06-30\lstm_scaler.pkl,models\rolling\2025-06-30\lstm_config.json,
2025-07-31,2023-07-31,2025-07-10,2025-07-11,2025-07-31,10,0.3636363636363636,0.32,0.5454545454545454,models\rolling\2025-07-31\lstm_weights.pth,models\rolling\2025-07-31\lstm_scaler.pkl,models\rolling\2025-07-31\lstm_config.json,
2025-08-31,2023-08-31,2025-08-09,2025-08-10,2025-08-30,10,0.7424242424242424,0.46,0.6666666666666666,models\rolling\2025-08-31\lstm_weights.pth,models\rolling\2025-08-31\lstm_scaler.pkl,models\rolling\2025-08-31\lstm_config.json,
2024-12-31,2022-12-31,2024-12-09,2024-12-10,2024-12-30,10,0.3722222222222222,0.3,0.6428571428571429,models\rolling\2024-12-31\lstm_weights.pth,models\rolling\2024-12-31\lstm_scaler.pkl,models\rolling\2024-12-31\lstm_config.json,
