date,proba_rfc_cal,proba_sgd_cal,y_true,month
2021-01-02,0.600000,0.604499,1,2021-01
2021-01-03,0.600000,0.561633,0,2021-01
2021-01-04,0.600000,0.533298,1,2021-01
2021-01-05,0.600000,0.570351,1,2021-01
2021-01-06,0.600000,0.570963,1,2021-01
2021-01-07,0.600000,0.549062,1,2021-01
2021-01-08,0.600000,0.507913,0,2021-01
2021-01-09,0.600000,0.454988,0,2021-01
2021-01-10,0.600000,0.422941,0,2021-01
2021-01-11,0.600000,0.404666,0,2021-01
2021-01-12,0.600000,0.424520,1,2021-01
2021-01-13,0.600000,0.514166,1,2021-01
2021-01-14,0.600000,0.494962,0,2021-01
2021-01-15,0.600000,0.427872,0,2021-01
2021-01-16,0.600000,0.459176,0,2021-01
2021-01-17,0.600000,0.470931,1,2021-01
2021-01-18,0.600000,0.501708,0,2021-01
2021-01-19,0.600000,0.487631,0,2021-01
2021-01-20,0.600000,0.499136,0,2021-01
2021-01-21,0.693548,0.432478,1,2021-01
2021-01-22,0.693548,0.553485,0,2021-01
2021-01-23,0.693548,0.508567,1,2021-01
2021-01-24,0.693548,0.534393,1,2021-01
2021-01-25,0.693548,0.537117,1,2021-01
2021-01-26,0.693548,0.544355,0,2021-01
2021-01-27,0.693548,0.509273,1,2021-01
2021-01-28,0.693548,0.608425,1,2021-01
2021-01-29,0.693548,0.576542,0,2021-01
2021-01-30,0.693548,0.583074,0,2021-01
2021-01-31,0.693548,0.566239,1,2021-01
2021-02-02,0.615385,0.644055,1,2021-02
2021-02-03,0.564103,0.646410,0,2021-02
2021-02-04,0.564103,0.642293,1,2021-02
2021-02-05,0.564103,0.643605,1,2021-02
2021-02-06,0.615385,0.642997,0,2021-02
2021-02-07,0.564103,0.639373,1,2021-02
2021-02-08,0.564103,0.651118,1,2021-02
2021-02-09,0.564103,0.639273,0,2021-02
2021-02-10,0.564103,0.631827,1,2021-02
2021-02-11,0.564103,0.635206,0,2021-02
2021-02-12,0.564103,0.626595,0,2021-02
2021-02-13,0.416667,0.622745,1,2021-02
2021-02-14,0.416667,0.623717,0,2021-02
2021-02-15,0.564103,0.618375,1,2021-02
2021-02-16,0.564103,0.620970,1,2021-02
